Date,Description,Amount,Running Bal.,BERT_Category,Cluster,Cluster_Summary
8/1/24,Beginning balance as of 08/01/2024,,"5,713.06",Retail,8,This is the first time I've ever purchased a new car
8/1/24,WAL-MART #5201 08/01 PURCHASE EDISON NJ,-20.18,"5,692.88",Retail,9,The following is a list of all of the items that are listed in the following order
8/1/24,WAL-MART #5201 08/01 PURCHASE EDISON NJ,-7.42,"5,685.46",Retail,9,The following is a list of all of the items that are listed in the following order
8/5/24,CHIPOTLE 0867 08/02 PURCHASE BRIDGEWATER NJ,-10.77,"5,674.69",Food & Dining,8,This is the first time I've ever purchased a new car
8/5/24,ACME 2827 08/03 PURCHASE OLD BRIDGE NJ,-35.74,"5,638.95",Retail,8,This is the first time I've ever purchased a new car
8/6/24,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX5492X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,322.42","6,961.37",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
8/6/24,MARSHALLS #230 08/05 PURCHASE SO PLAINFIELD NJ,-17.98,"6,943.39",Retail,7,"$1,000"
8/7/24,Etsy.com - SponkEditing 08/06 PURCHASE XXX-XX93879 NY,-0.4,"6,942.99",Retail,7,"$1,000"
8/7/24,NNT KAPADOKYA 08/07 PURCHASE NEW BRUNSWICK NJ,-28.8,"6,914.19",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
8/8/24,MARSHALLS #230 08/06 REFUND SO PLAINFIELD NJ,17.98,"6,932.17",Retail,7,"$1,000"
8/8/24,CHIPOTLE 1256 08/07 PURCHASE NEW BRUNSWICK NJ,-10.24,"6,921.93",Food & Dining,8,This is the first time I've ever purchased a new car
8/8/24,NBPA - PARKMOBILE. 08/07 PURCHASE NEW BRUNSWICK NJ,-1.68,"6,920.25",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
8/9/24,TST*NIRVANIS INDIAN KIT 08/07 PURCHASE New Brunswick NJ,-18.13,"6,902.12",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
8/12/24,WAL-MART #5201 08/10 PURCHASE EDISON NJ,-5.2,"6,896.92",Retail,9,The following is a list of all of the items that are listed in the following order
8/13/24,CHIPOTLE 1772 08/12 PURCHASE SOUTH PLAINFI NJ,-10.5,"6,886.42",Retail,8,This is the first time I've ever purchased a new car
8/19/24,PLAYA BOWLS WARREN 08/16 PURCHASE WARREN NJ,-16.55,"6,869.87",Food & Dining,8,This is the first time I've ever purchased a new car
8/19/24,PLAYA BOWLS NEW BRUNS 08/16 PURCHASE NEW BRUNSWICK NJ,-25.59,"6,844.28",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
8/19/24,WAL Wal-Mart S 08/19 PURCHASE EDISON NJ,-31.97,"6,812.31",Retail,9,The following is a list of all of the items that are listed in the following order
8/20/24,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX4960X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,469.36","8,281.67",Retail,4,*etsy is the name of a company that is listed on the website of the University of Michigan
8/20/24,7-ELEVEN 39020 08/18 PURCHASE EDISON NJ,-7.88,"8,273.79",Retail,9,The following is a list of all of the items that are listed in the following order
8/20/24,CHIPOTLE 2475 08/19 PURCHASE BASKING RIDGE NJ,-10.4,"8,263.39",Food & Dining,8,This is the first time I've ever purchased a new car
8/21/24,CHIPOTLE 2475 08/20 PURCHASE BASKING RIDGE NJ,-10.4,"8,252.99",Food & Dining,8,This is the first time I've ever purchased a new car
8/22/24,INMAN BARBER SHOP 08/21 PURCHASE EDISON NJ,-28,"8,224.99",Retail,9,The following is a list of all of the items that are listed in the following order
8/23/24,CHIPOTLE 2475 08/22 PURCHASE BASKING RIDGE NJ,-10.4,"8,214.59",Food & Dining,8,This is the first time I've ever purchased a new car
8/23/24,OLO*110 honeygrow Rut 08/22 PURCHASE New Brunswick NJ,-11.04,"8,203.55",Food & Dining,3,New Jersey is the only state in the country that has a minimum wage of $7
8/26/24,TST* TACORIA- NEW BRUNS 08/22 PURCHASE NEW BRUNSWICK NJ,-11.68,"8,191.87",Food & Dining,1,This is the first time I've seen a new product that has been made in the United States
