Date,Description,Amount,Running Bal.
05/08/2024,Beginning balance as of 05/08/2024,,"0.00"
05/20/2024,"Transfer VENMO","187.20","187.20"
05/28/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX3448X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","293.87","481.07"
06/03/2024,"APPLE CASH INS 06/03 PMNT RCVD CUPERTINO CA","17.13","498.20"
06/04/2024,"SNACK* TRIBOS PERI PER 06/03 PURCHASE XXX-XX682146 CA","-15.45","482.75"
06/04/2024,"OLO 110 honeygrow Rut 06/03 PURCHASE New Brunswick NJ","-10.35","472.40"
06/04/2024,"TARGET T-1929 06/04 PURCHASE South Plainfi NJ","-15.55","456.85"
06/11/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX2906X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,469.36","1,926.21"
06/11/2024,"MOE'S SW GRILL #2368 06/09 PURCHASE MT LAUREL TOW NJ","-15.91","1,910.30"
06/13/2024,"CVS/PHARMACY # 06/13 PURCHASE SOUTH PLAINFI NJ","-10.23","1,900.07"
06/14/2024,"TARGET T-3432 06/14 PURCHASE Eatontown NJ","-6.40","1,893.67"
06/17/2024,"CHIPOTLE 2475 06/14 PURCHASE BASKING RIDGE NJ","-10.93","1,882.74"
06/18/2024,"TARGET T-1929 06/18 PURCHASE South Plainfi NJ","-14.13","1,868.61"
06/21/2024,"CHIPOTLE 2475 06/20 PURCHASE BASKING RIDGE NJ","-10.93","1,857.68"
06/21/2024,"SHOPRITESPLAINFIELDS1 06/20 PURCHASE SOUTH PLAINFI NJ","-3.51","1,854.17"
06/24/2024,"GUMROAD.CO* SPARSH PAT 06/22 PURCHASE HTTPSGUMROAD. CA","-5.00","1,849.17"
06/24/2024,"BROADWAY DIRECT LOTTER 06/22 PURCHASE BROADWAYDIREC NY","-70.00","1,779.17"
06/24/2024,"TARGET T-3277 06/23 PURCHASE New York NY","-8.80","1,770.37"
06/24/2024,"FIV*GONG CHA NY PENN 06/23 PURCHASE NEW YORK NY","-7.35","1,763.02"
06/25/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX9204X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,469.36","3,232.38"
