Date,Description,Amount,Category
2025-07-11,goofing,1000,Bars & Pubs
04/01/2025,Beginning balance as of 04/01/2025,,"7,060.75"
04/04/2025,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",46.10,"7,106.85"
04/04/2025,KNIGHTS DELI GROCERY 04/04 PURCHASE NEW BRUNSWICK NJ,-4.38,"7,102.47"
04/07/2025,SP OAK HALL CAP GOWN 04/03 REFUND SALEM VA,16.02,"7,118.49"
04/07/2025,BUTLER FOOD STORE 04/04 PURCHASE NEW BRUNSWICK NJ,-4.99,"7,113.50"
04/07/2025,HUEY'S KNIGHT CLUB 04/04 PURCHASE NEW BRUNSWICK NJ,-13.52,"7,099.98"
04/07/2025,CHIPOTLE 1256 04/06 PURCHASE NEW BRUNSWICK NJ,-13.33,"7,086.65"
04/08/2025,SPLITWISE DES:PAYMENT ID:62A6BB9AF3D645B INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,108.13,"7,194.78"
04/08/2025,7-ELEVEN 35664 04/06 PURCHASE NEW BRUNSWICK NJ,-2.69,"7,192.09"
04/09/2025,SPLITWISE DES:PAYMENT ID:C08F2E619E05489 INDN:SPARSH PATEL CO ID:XXXXX00000 PPD,39.42,"7,231.51"
04/09/2025,AMAZON MARK* C37AL2FW3 04/07 PURCHASE AMAZON.COM/MA WA,-30.59,"7,200.92"
04/09/2025,PETER'S LIQUORS 04/08 PURCHASE NEW BRUNSWICK NJ,-2.84,"7,198.08"
04/10/2025,CAFE WEST 04/08 PURCHASE NEW BRUNSWICK NJ,-9.50,"7,188.58"
04/10/2025,HUEY'S KNIGHT CLUB 04/08 PURCHASE NEW BRUNSWICK NJ,-9.32,"7,179.26"
04/14/2025,MTA*NYCT PAYGO 04/11 PURCHASE NEW YORK NY,-2.90,"7,176.36"
04/14/2025,MTA*NYCT PAYGO 04/11 PURCHASE NEW YORK NY,-2.90,"7,173.46"
04/14/2025,JOLLIBEE 04/11 PURCHASE NEW YORK NY,-11.97,"7,161.49"
04/14/2025,SQ *ST JAMES THEATRE 04/11 PURCHASE New York NY,-7.53,"7,153.96"
04/14/2025,$1.50 FRESH PIZZA #3 04/11 PURCHASE NEW YORK NY,-1.56,"7,152.40"
04/14/2025,PRIMO CAPPUCCINO 04/11 PURCHASE NEW YORK NY,-7.50,"7,144.90"
04/14/2025,NNT WHAT'S THE 04/13 PURCHASE METUCHEN NJ,-10.84,"7,134.06"
04/15/2025,KNIGHTS DELI GROCERY 04/15 PURCHASE NEW BRUNSWICK NJ,-6.01,"7,128.05"
04/17/2025,"SMART ECOSYSTEM, DES:PAYMENT ID:XXXXXXXXXX16144 INDN:SPARSH PATEL CO ID:XXXXX9051 PPD",42.90,"7,170.95"
04/18/2025,WAL-MART #5201 04/18 PURCHASE EDISON NJ,-7.35,"7,163.60"
04/21/2025,VENMO DES:REFUND ID:XXXXX53085541 INDN:SPARSH PATEL CO ID:XXXXX81992 PPD,80.00,"7,243.60"
04/21/2025,7-ELEVEN 35664 04/17 PURCHASE NEW BRUNSWICK NJ,-9.16,"7,234.44"
04/21/2025,KNIGHTS DELI GROCERY 04/19 PURCHASE NEW BRUNSWICK NJ,-10.96,"7,223.48"
04/21/2025,JAKE'S FINE FOODS 04/19 PURCHASE XXX-XX83699 NJ,-16.00,"7,207.48"
04/21/2025,7-ELEVEN 35664 04/19 PURCHASE NEW BRUNSWICK NJ,-8.63,"7,198.85"
04/21/2025,WALGREENS #6908 04/20 PURCHASE NEW BRUNSWICK NJ,-14.87,"7,183.98"
04/21/2025,VENMO DES:PAYMENT ID:XXXXX52599245 INDN:SPARSH PATEL CO ID:XXXXX81992 WEB,-80.00,"7,103.98"
04/23/2025,7-ELEVEN 35664 04/21 PURCHASE NEW BRUNSWICK NJ,-2.99,"7,100.99"
04/24/2025,BUTLER FOOD STORE 04/23 PURCHASE NEW BRUNSWICK NJ,-4.48,"7,096.51"
04/24/2025,PANERA BREAD #606010 K 04/23 PURCHASE PISCATAWAY TO NJ,-3.72,"7,092.79"
04/28/2025,Transfer VENMO,49.13,"7,141.92"
04/28/2025,TST*NIRVANIS INDIAN KIT 04/26 PURCHASE New Brunswick NJ,-7.46,"7,134.46"
04/28/2025,R U HUNGRY 04/26 PURCHASE NEW BRUNSWICK NJ,-29.45,"7,105.01"
04/28/2025,CPI*CANTEEN VENDING AVE 04/27 PURCHASE 800-628-8363 NJ,-2.10,"7,102.91"
04/29/2025,TST* 16 HANDLES - RUTGE 04/27 PURCHASE PISCATAWAY NJ,-11.54,"7,091.37"
04/29/2025,AMAZON PRIME*XL1W49MP3 04/27 PURCHASE Amzn.com/bill WA,-7.99,"7,083.38"
04/30/2025,DOLLAR BRUNSWICK LLC 04/29 PURCHASE NEW BRUNSWICK NJ,-4.28,"7,079.10"
04/30/2025,R U HUNGRY 04/29 PURCHASE NEW BRUNSWICK NJ,-6.69,"7,072.41"
05/01/2025,BUTLER FOOD STORE 04/30 PURCHASE NEW BRUNSWICK NJ,-4.88,"7,067.53"
05/02/2025,R U HUNGRY 05/02 PURCHASE NEW BRUNSWICK NJ,-13.38,"7,054.15"
05/05/2025,THE ALE N WICH PUB 05/01 PURCHASE NEW BRUNSWICK NJ,-15.36,"7,038.79"
05/05/2025,HUEY'S KNIGHT CLUB 05/03 PURCHASE NEW BRUNSWICK NJ,-14.56,"7,024.23"
05/05/2025,CTLP*CANTEEN VENDING 05/04 PURCHASE CHARLOTTE NC,-2.10,"7,022.13"
05/05/2025,CTLP*CANTEEN VENDING 05/04 PURCHASE CHARLOTTE NC,-2.10,"7,020.03"
05/06/2025,THE PRINCETON UNIVERSI 05/04 PURCHASE 609-921-8500 NJ,-3.72,"7,016.31"
05/07/2025,WAL-MART #2633 05/07 PURCHASE PISCATAWAY NJ,-3.82,"7,012.49"
05/08/2025,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-8.38,"7,004.11"
05/08/2025,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-4.16,"6,999.95"
05/08/2025,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-8.32,"6,991.63"
05/08/2025,HUEY'S KNIGHT CLUB 05/06 PURCHASE NEW BRUNSWICK NJ,-5.70,"6,985.93"
05/08/2025,GOLDEN RAIL PUB 05/07 PURCHASE NEW BRUNSWICK NJ,-12.09,"6,973.84"
05/08/2025,GOLDEN RAIL PUB 05/07 PURCHASE NEW BRUNSWICK NJ,-5.54,"6,968.30"
05/12/2025,CPI*CANTEEN VENDING AVE 05/08 PURCHASE 800-628-8363 NJ,-3.10,"6,965.20"
05/12/2025,KNIGHTS DELI GROCERY 05/11 PURCHASE NEW BRUNSWICK NJ,-8.21,"6,956.99"
05/12/2025,BUTLER FOOD STORE 05/10 PURCHASE NEW BRUNSWICK NJ,-18.06,"6,938.93"
05/12/2025,TST*MR. TACOS TAQUERIA 05/10 PURCHASE New Brunswick NJ,-15.99,"6,922.94"
05/12/2025,VENMO DES:PAYMENT ID:XXXXX08612104 INDN:SPARSH PATEL CO ID:XXXXX81992 WEB,-105.50,"6,817.44"
05/13/2025,CPI*CANTEEN VENDING AVE 05/12 PURCHASE 800-628-8363 NJ,-3.10,"6,814.34"
05/14/2025,WOODYS CAFE 05/12 PURCHASE PISCATAWAY NJ,-12.45,"6,801.89"
05/15/2025,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-10.40,"6,791.49"
05/15/2025,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-4.16,"6,787.33"
05/15/2025,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-10.40,"6,776.93"
05/15/2025,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-5.20,"6,771.73"
05/15/2025,HUEY'S KNIGHT CLUB 05/13 PURCHASE NEW BRUNSWICK NJ,-12.40,"6,759.33"
05/15/2025,GOLDEN RAIL PUB 05/13 PURCHASE NEW BRUNSWICK NJ,-10.32,"6,749.01"
05/15/2025,GOLDEN RAIL PUB 05/14 PURCHASE NEW BRUNSWICK NJ,-25.73,"6,723.28"
05/15/2025,BUTLER FOOD STORE 05/14 PURCHASE NEW BRUNSWICK NJ,-7.18,"6,716.10"
05/15/2025,AMC 2220 NEW BRUNSWIC 05/14 PURCHASE NEW BRUNSWICK NJ,-13.85,"6,702.25"
05/15/2025,AMC 2220 NEW BRUNSWIC 05/14 PURCHASE NEW BRUNSWICK NJ,-20.02,"6,682.23"
05/16/2025,EASTON SMOKES 05/15 PURCHASE NEW BRUNSWICK NJ,-22.13,"6,660.10"
05/16/2025,VEO* CAPTURE 05/15 PURCHASE VEORIDE.COM CA,-0.60,"6,659.50"
05/16/2025,UBER TRIP DES:UBER TRIP ID:ST-Y2F7P7J0U8G5 INDN:SPARSH V PATEL CO ID:XXXXX48598 WEB,-9.97,"6,649.53"
05/19/2025,BUTLER FOOD STORE 05/16 PURCHASE NEW BRUNSWICK NJ,-7.71,"6,641.82"
05/19/2025,HUEY'S KNIGHT CLUB 05/17 PURCHASE NEW BRUNSWICK NJ,-20.80,"6,621.02"
05/19/2025,HUEY'S KNIGHT CLUB 05/17 PURCHASE NEW BRUNSWICK NJ,-10.40,"6,610.62"
05/19/2025,TST* TACORIA- NEW BRUNS 05/17 PURCHASE NEW BRUNSWICK NJ,-32.99,"6,577.63"
05/19/2025,PETER'S LIQUORS 05/17 PURCHASE NEW BRUNSWICK NJ,-15.99,"6,561.64"
05/19/2025,KNIGHTS DELI GROCERY 05/18 PURCHASE NEW BRUNSWICK NJ,-15.43,"6,546.21"
05/19/2025,VEO* DEPOSIT 05/18 PURCHASE VEORIDE.COM CA,-10.00,"6,536.21"
05/19/2025,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-10.00,"6,526.21"
05/19/2025,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-10.00,"6,516.21"
05/19/2025,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-10.00,"6,506.21"
05/19/2025,VEO* CAPTURE 05/18 PURCHASE VEORIDE.COM CA,-0.50,"6,505.71"
05/19/2025,BUTLER FOOD STORE 05/18 PURCHASE NEW BRUNSWICK NJ,-6.48,"6,499.23"
05/20/2025,SQ *THE BAKED BEAR 05/18 PURCHASE New Brunswick NJ,-10.34,"6,488.89"
05/20/2025,HUEY'S KNIGHT CLUB 05/19 PURCHASE NEW BRUNSWICK NJ,-10.40,"6,478.49"
05/20/2025,SHOKUDO 05/19 PURCHASE PISCATAWAY NJ,-31.33,"6,447.16"
05/20/2025,SQ *THE BAKED BEAR 05/19 PURCHASE New Brunswick NJ,-10.49,"6,436.67"
05/21/2025,VEO* CAPTURE 05/20 PURCHASE VEORIDE.COM CA,-7.08,"6,429.59"
05/21/2025,CTLP*CANTEEN VENDING 05/20 PURCHASE CHARLOTTE NC,-2.10,"6,427.49"
05/21/2025,BUTLER FOOD STORE 05/20 PURCHASE NEW BRUNSWICK NJ,-16.47,"6,411.02"
05/21/2025,DOLLAR TREE 05/21 PURCHASE SOUTH PLAINFI NJ,-2.75,"6,408.27"
